,x,y,z,result
1,-1454.5157,-1084.3522,-54.827271,0.999198
2,-1419.7971,-1077.5341,-54.777615,0.990615
3,-1384.7627,-1067.2402,-55.412125,0.995297
4,-1353.0415,-1054.4264,-55.999153,1.015994
5,-1322.0165,-1043.8682,-55.716255,1.013573
6,-1289.517,-1034.5829,-56.037441,1.005676
7,-1256.1547,-1025.2129,-57.041008,1.001484
8,-1222.8246,-1015.8263,-57.386421,1.001872
9,-1189.424,-1006.5575,-57.736053,1.002651
10,-1156.0238,-997.68964,-57.346691,1.002413
11,-1122.299,-989.28162,-57.632435,1.001232
12,-1088.8184,-980.55115,-58.365398,1.004701
13,-1055.4338,-971.54474,-58.287651,1.002456
14,-1021.923,-962.76477,-58.634346,1.001994
15,-988.38647,-954.17767,-59.524334,1.003592
16,-954.89343,-945.84558,-60.003155,1.003369
17,-921.5144,-938.33453,-60.194656,1.008405
18,-887.83527,-930.27991,-60.465187,1.003246
19,-854.17072,-922.14154,-60.991394,1.002531
20,-820.62805,-914.15546,-61.322689,1.0043
21,-787.09436,-906.50269,-61.633083,1.004132
22,-753.63153,-899.22046,-61.851318,1.005862
23,-719.97498,-892.52295,-61.529064,1.004835
24,-686.69562,-885.32495,-62.599167,1.00714
25,-653.19934,-878.27069,-62.924965,1.006304
26,-619.70862,-871.58691,-63.193165,1.006876
27,-586.37463,-865.15906,-63.553883,1.00952
28,-552.90631,-859.40344,-63.838757,1.0073
29,-519.18634,-854.19043,-64.030708,1.005664
30,-485.4791,-848.26489,-63.819843,1.008487
31,-451.96735,-843.36334,-64.543541,1.007278
32,-418.30728,-838.60858,-64.510521,1.008509
33,-384.85922,-834.55811,-65.314835,1.009251
34,-351.10736,-831.27216,-65.145309,1.008512
35,-317.48737,-828.0282,-65.438248,1.011529
36,-284.01019,-825.0188,-65.751892,1.011338
37,-250.78493,-823.22858,-66.788345,1.010873
38,-216.89606,-821.69391,-66.40435,1.003801
39,-182.18771,-819.62793,-67.471069,0.999773
40,-146.96831,-816.81836,-67.816704,0.995793
41,-111.34988,-813.13123,-67.424965,0.997238
42,-76.079147,-808.03687,-68.358612,0.99655
43,-40.989384,-802.35034,-68.690567,0.997539
44,-6.3357415,-796.1889,-69.054047,0.999005
45,28.055912,-789.88257,-69.328529,0.999686
46,59.721539,-784.02533,-69.658463,0.999871
47,91.335617,-778.14417,-69.988098,0.999909
48,91.109627,-743.25452,-70.049637,0.999918
49,90.952873,-708.29712,-69.919487,0.999614
50,90.60891,-673.19452,-69.881897,0.998085
51,89.99025,-637.70929,-69.48719,0.995895
52,88.973083,-602.08203,-69.661934,0.995038
53,87.249832,-566.19012,-70.020813,0.995749
54,84.308472,-530.28802,-70.042755,0.996622
55,80.017395,-494.86444,-69.922913,0.997728
56,75.255981,-460.10007,-69.935089,1.000774
57,70.677071,-426.0704,-69.19043,1.005338
58,66.641815,-392.3143,-69.84584,1.006563
59,63.043854,-358.51938,-69.825508,1.006897
60,59.765717,-324.66074,-69.071922,1.007447
61,56.818878,-290.82965,-69.065086,1.007239
62,54.099178,-256.89798,-69.687645,1.00773
63,51.800255,-223.13914,-69.566673,1.008404
64,49.701237,-189.45178,-69.729515,1.01064
65,48.010406,-155.99402,-69.699738,1.010475
66,46.92326,-122.27966,-68.992676,1.009456
67,45.31501,-88.461517,-69.640488,1.011391
68,44.037373,-54.990383,-69.66217,1.012528
69,43.222176,-21.611092,-69.591614,1.011928
70,42.828011,11.954115,-69.254883,1.011701
71,42.777443,45.506245,-69.064445,1.012372
72,42.965992,78.986397,-69.574821,1.012179
73,43.233288,112.65115,-69.615608,1.012301
74,43.614861,146.25923,-69.662659,1.010278
75,44.2687,179.9173,-69.663956,1.010821
76,45.323013,213.57968,-69.159195,1.009764
77,46.691765,247.45398,-69.482307,1.007945
78,48.365391,281.40274,-69.694046,1.007478
79,50.346584,315.27225,-69.011742,1.008549
80,52.61578,349.08627,-69.740547,1.008222
81,55.350639,382.92392,-69.096756,1.008273
82,58.44775,416.62,-69.782791,1.007597
83,62.176003,450.37024,-69.832703,1.005129
84,66.158028,484.6636,-69.166656,1.001433
85,70.032135,519.755,-69.83419,0.996578
86,73.039444,555.51563,-69.854553,0.994365
87,74.675072,591.5675,-69.793777,0.993592
88,75.158409,627.50323,-69.54718,0.994455
89,74.966545,663.07025,-69.581139,0.996955
90,74.365036,698.22375,-69.43705,0.999169
91,73.581978,733.15808,-69.276329,0.999888
92,72.473274,782.21112,-69.464203,0.999913
93,38.113186,788.40137,-69.16877,0.999906
94,3.7175934,794.57104,-68.722832,0.99971
95,-30.714119,800.70093,-68.55365,0.998984
96,-65.529419,806.51874,-68.162781,0.997928
97,-100.83733,811.80084,-67.765877,0.997174
98,-135.92297,815.77606,-67.918365,0.997608
99,-171.16039,819.22644,-66.852959,0.999258
100,-206.07338,821.66833,-67.209335,1.003404
101,-240.50839,823.24646,-66.179077,1.008931
102,-274.18387,824.51007,-66.601067,1.013145
103,-307.3775,826.59058,-65.667221,1.010648
104,-340.83252,829.67255,-65.202965,1.008991
105,-374.41925,833.52692,-65.516846,1.008789
106,-407.87549,837.96033,-64.970299,1.00717
107,-441.85928,842.09375,-64.263893,1.006685
108,-475.46121,846.59686,-64.548851,1.006898
109,-509.07993,851.79712,-64.266434,1.007762
110,-542.43188,857.6109,-63.314678,1.007778
111,-575.90558,864.1366,-63.680706,1.00408
112,-609.70612,869.68768,-63.34502,1.007442
113,-643.21857,876.03137,-63.029034,1.006966
114,-676.62024,882.76007,-62.7103,1.00527
115,-710.29736,889.64099,-62.373615,1.004727
116,-744.00677,896.64618,-62.060951,1.005
117,-777.50183,903.79657,-61.734291,1.005106
118,-810.99268,911.43402,-61.40712,1.004294
119,-844.45538,919.37598,-61.091343,1.003699
120,-877.95691,927.64795,-60.756351,1.003606
121,-911.75568,935.20593,-60.42168,1.004208
122,-945.3017,943.22888,-60.108212,1.003497
123,-978.80994,951.42999,-59.786922,1.002309
124,-1012.2537,959.86792,-58.879608,1.003846
125,-1045.568,968.79651,-58.577244,1.001084
126,-1079.3558,977.14252,-58.753639,1.001693
127,-1112.9242,985.62128,-58.451923,1.001738
128,-1146.3269,994.35175,-57.437225,1.002393
129,-1179.6443,1003.4037,-57.127522,1.002709
130,-1212.9673,1012.8495,-57.166645,1.000728
131,-1246.674,1021.8036,-56.965462,1.001679
132,-1279.9327,1030.802,-56.656822,1.005223
133,-1312.554,1040.2556,-56.540615,1.011378
134,-1343.401,1050.4308,-56.237995,1.021256
135,-1373.3579,1063.897,-55.23214,1.007704
136,-1407.7484,1075.6533,-54.917564,0.997768
137,-1443.0649,1083.5004,-55.112267,0.999268
138,-1477.4459,1089.5565,-54.651306,0.999969
139,-1513.3497,1096.2249,-54.549984,0.999978
140,-1512.8181,1061.2687,-54.538765,0.999965
141,-1511.8257,1026.2676,-54.556957,1.000027
142,-1510.6946,991.12408,-54.530556,1.000865
143,-1508.8864,956.51483,-53.92709,1.003116
144,-1507.6592,922.29706,-53.942848,1.004403
145,-1506.7482,888.02563,-54.651779,1.00361
146,-1506.1008,853.48169,-54.43335,1.00214
147,-1505.6283,818.75421,-53.959042,1.001166
148,-1505.1486,783.98871,-54.524834,1.001143
