,LotSize,NumberOfBeds,NumberOfFullBaths,NumberOfHalfBaths,SquareFeet,[NumberOfFullBaths,city,price,streetAddress
0,,,,,,,"Rock Springs, WY 82901","$725,000",0 Gateway
1,,4,4,,,,"Rock Springs, WY 82901","$452,900",1003 Winchester Blvd.
2,,5,3,,"3,154",,"Rock Springs, WY 82901","$396,900",600 Talladega
3,City / Town Street,4,3,1,"3,076",,"Rock Springs, WY 82901","$389,900",3239 Spearhead Way
4,,3,3,,"1,172",,"Rock Springs, WY 82901","$254,000",522 Emerald Street
5,,4,2,,"1,932",,"Rock Springs, WY 82901","$252,900",1302 Veteran's Drive
6,,4,3,,"1,676",,"Rock Springs, WY 82901","$210,000",1021 Cypress Cir
7,,3,2,,"1,344",,"Rock Springs, WY 82901","$209,000",913 Madison Dr
8,,3,2,,"1,920",,"Rock Springs, WY 82901","$199,900",1344 Teton Street
9,,3,2,,"1,664",,"Rock Springs, WY 82901","$196,900",4 Minnies Lane
10,,,,,"2,560",,"Rocksprings, TX 78880","$1,700,000",9339 Sd 26900
11,,,,,"2,000",,"Rocksprings, TX 78880","$1,100,000",RR674P13 Hwy 377
12,,,,,,,"Rocksprings, TX 78880","$1,080,000",0 Hwy 41
13,,,,,"2,560",,"Rocksprings, TX 78880","$908,350",9339 Sd 26900
14,,,,,,,"Rocksprings, TX 78880","$905,000",CR450 Hwy 377
15,,,,,"1,398",,"Rocksprings, TX 78880","$695,000",Cr 240 Cr 240
16,,,,,"1,738",,"Rocksprings, TX 78880","$605,000",RR674 Hwy 377
17,,,,,"1,080",,"Rocksprings, TX 78880","$559,805",9770a Sd 26900
18,,,,,,,"Rocksprings, TX 78880","$504,000",Lot17 CR 2630
19,,,,,,,"Rocksprings, TX 78880","$410,000","Tr12,16 CR 520"
20,,3,2,,"2,318",,"Black Canyon City, AZ 85324","$299,900",32575 S Shadow Mountain Road
21,,3,2,,"2,120",,"Black Canyon City, AZ 85324","$167,500",32750 S Shangrila Drive
22,,,,,,,"Black Canyon City, AZ 85324","$150,000",0000 Black Canyon Highway
23,,3,2,,"1,220",,"Black Canyon City, AZ 85324","$129,500",34775 S CHOLLA Drive
24,,4,2,,"2,000",,"BLACK CANYON CITY, AZ 85324","$129,000",33403 S. HA-WA-SI TERRACE
25,,5,2,,"2,260",,"Black Canyon City, AZ 85324","$80,000",34263 S Bertha Street
26,,3,2,,"1,248",,"Black Canyon City, AZ 85324","$77,900",33160 S Canyon Road
27,,3,2,,"1,404",,"Black Canyon City, AZ 85324","$70,500",19421 E Todd Evans Road
28,,,,,,,"Black Canyon City, AZ 85324","$70,000",18688 E AGUA Vista
29,,,,,,,"Black Canyon City, AZ 85324","$67,500",50600 N Old Black Canyon Road
30,,,,,,,"Black Canyon City, AZ 85324","$54,900",20101 E SQUAW VALLEY Road
31,,3,1,,"1,056",,"Black Canyon City, AZ 85324","$45,600",33259 S Canyon Road
32,,2,1,,784,,"Black Canyon City, AZ 85324","$40,000",34558 S ROADRUNNER RD
33,,,,,,,"Black Canyon City, AZ 85324","$30,000",19260 E Scenic Loop Road
34,,,,,,,"Black Canyon City, AZ 85324","$29,000",19000 E MAREN Avenue
35,,,,,,,"Black Canyon City, AZ 85324","$28,995",19350 E SAGUARO Drive
36,,,,,,,"Black Canyon City, AZ 85324","$15,000",20650 E Amethyst Place
